model,dataset,test_run,group_axis,review_fraction,mean_universe_n,mean_universe_error_count,mean_reviewed_n,mean_uncertainty_review_error_rate_at_k,mean_oracle_review_error_rate_at_k,mean_max_possible_review_error_rate_gain_over_uncertainty,mean_uncertainty_error_recall_at_k,mean_oracle_error_recall_at_k,mean_max_possible_error_recall_gain_over_uncertainty,mean_max_possible_review_error_count_gain_over_uncertainty,mean_uncertainty_fraction_of_oracle_error_count
PACE,biosnap,seed_5,target,0.2,137.25,10.25,27.5,0.095180860806,0.3685325091575091,0.27335164835150916,0.2474206349205,1.0,0.7525793650795,7.5,0.24742063492063493
PACE,biosnap,seed_6,drug,0.05,162.5,12.75,8.0,0.25198412698399997,1.0,0.748015873016,0.16724941724925,0.6551087801087802,0.48785936285953013,6.0,0.251984126984127
PACE,biosnap,seed_6,drug,0.1,162.5,12.75,16.5,0.2272915745245,0.7606078615656788,0.5333162870411788,0.302933177933,1.0,0.697066822067,9.0,0.3029331779331779
PACE,biosnap,seed_6,drug,0.2,162.5,12.75,32.25,0.19929531018225,0.38917329038296783,0.1898779802007178,0.51563714063725,1.0,0.48436285936275,6.25,0.5156371406371406
PACE,biosnap,seed_6,target,0.05,162.5,12.75,8.0,0.25198412698399997,1.0,0.748015873016,0.16724941724925,0.6551087801087802,0.48785936285953013,6.0,0.251984126984127
PACE,biosnap,seed_6,target,0.1,162.5,12.75,16.5,0.2272915745245,0.7606078615656788,0.5333162870411788,0.302933177933,1.0,0.697066822067,9.0,0.3029331779331779
PACE,biosnap,seed_6,target,0.2,162.5,12.75,32.25,0.19929531018225,0.38917329038296783,0.1898779802007178,0.51563714063725,1.0,0.48436285936275,6.25,0.5156371406371406
PACE,biosnap,seed_7,drug,0.05,138.25,8.25,6.75,0.15625,0.9166666666666666,0.7604166666666666,0.14423076923075,0.8100961538461539,0.6658653846154039,5.25,0.17708333333333331
PACE,biosnap,seed_7,drug,0.1,138.25,8.25,13.75,0.17588141025625,0.58316163003663,0.40728021978038004,0.28365384615375,1.0,0.71634615384625,5.75,0.28365384615384615
PACE,biosnap,seed_7,drug,0.2,138.25,8.25,27.75,0.15304716522875,0.2878517035188699,0.13480453829011993,0.56490384615375,1.0,0.43509615384625,4.0,0.5649038461538461
PACE,biosnap,seed_7,target,0.05,138.25,8.25,6.75,0.15625,0.9166666666666666,0.7604166666666666,0.14423076923075,0.8100961538461539,0.6658653846154039,5.25,0.17708333333333331
PACE,biosnap,seed_7,target,0.1,138.25,8.25,13.75,0.17588141025625,0.58316163003663,0.40728021978038004,0.28365384615375,1.0,0.71634615384625,5.75,0.28365384615384615
PACE,biosnap,seed_7,target,0.2,138.25,8.25,27.75,0.15304716522875,0.2878517035188699,0.13480453829011993,0.56490384615375,1.0,0.43509615384625,4.0,0.5649038461538461
PACE,biosnap,seed_8,drug,0.05,156.75,13.5,8.0,0.2127976190475,1.0,0.7872023809525,0.12368881118875,0.6231643356643357,0.4994755244755857,6.25,0.21279761904761904
PACE,biosnap,seed_8,drug,0.1,156.75,13.5,15.75,0.18258928571425,0.815029761904762,0.6324404761905119,0.20541958041949998,0.975,0.7695804195805,10.0,0.21375291375291375
PACE,biosnap,seed_8,drug,0.2,156.75,13.5,31.25,0.145138888889,0.42471064814814813,0.2795717592591481,0.3223776223775,1.0,0.6776223776225,8.75,0.32237762237762235
PACE,biosnap,seed_8,target,0.05,156.75,13.5,8.0,0.2127976190475,1.0,0.7872023809525,0.12368881118875,0.6231643356643357,0.4994755244755857,6.25,0.21279761904761904
PACE,biosnap,seed_8,target,0.1,156.75,13.5,15.75,0.18258928571425,0.815029761904762,0.6324404761905119,0.20541958041949998,0.975,0.7695804195805,10.0,0.21375291375291375
PACE,biosnap,seed_8,target,0.2,156.75,13.5,31.25,0.145138888889,0.42471064814814813,0.2795717592591481,0.3223776223775,1.0,0.6776223776225,8.75,0.32237762237762235
PACE,human,seed_4,drug,0.05,79.0,14.5,4.0,0.625,1.0,0.375,0.18469765528575,0.28547922665569725,0.10078157136994725,1.5,0.625
PACE,human,seed_4,drug,0.1,79.0,14.5,7.75,0.57589285714275,1.0,0.42410714285725,0.311394487865,0.5482311805841218,0.23683669271912178,3.25,0.5758928571428571
