model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,selected_v2_profile,selection_metric,validation_metric,validation_gain_vs_U,fallback_reason,u_validation_error_detection_auprc,u2_validation_error_detection_auprc,ue2_validation_error_detection_auprc,u2e2_validation_error_detection_auprc,min_validation_gain,selection_reason
PACE,human,seed_7,target,base,0.8,0.1,0.2,U,validation_error_detection_auprc,0.226474,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.226474,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
PACE,human,seed_7,target,base,0.8,0.2,0.2,U+E2,validation_error_detection_auprc,0.75,0.707937,,0.042063,0.416667,0.75,0.416667,0.005,validation_gain_vs_U_meets_threshold
PACE,human,seed_7,target,base,0.9,0.1,0.2,U,validation_error_detection_auprc,0.462045,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.462045,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
PACE,human,seed_7,target,base,0.9,0.2,0.2,U2+E2,validation_error_detection_auprc,0.75,0.706723,,0.043277,0.416667,0.7,0.75,0.005,validation_gain_vs_U_meets_threshold
PACE,human,seed_7,drug,base,0.8,0.1,0.2,U2,validation_error_detection_auprc,0.449074,0.135582,,0.313492,0.449074,0.205556,0.236601,0.005,validation_gain_vs_U_meets_threshold
PACE,human,seed_7,drug,base,0.8,0.2,0.2,U,validation_error_detection_auprc,0.543478,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.543478,0.126984,0.052989,0.058776,0.005,fallback_to_U_gain_below_threshold_or_unavailable
PACE,human,seed_7,drug,base,0.9,0.1,0.2,U,validation_error_detection_auprc,0.163462,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.163462,0.100962,0.098214,0.100962,0.005,fallback_to_U_gain_below_threshold_or_unavailable
PACE,human,seed_7,drug,base,0.9,0.2,0.2,U,validation_error_detection_auprc,0.045455,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.045455,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
PACE,human,seed_8,target,base,0.8,0.1,0.2,U,validation_error_detection_auprc,0.095827,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.095827,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
PACE,human,seed_8,target,base,0.8,0.2,0.2,U,validation_error_detection_auprc,0.134434,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.134434,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
PACE,human,seed_8,target,base,0.9,0.1,0.2,U,validation_error_detection_auprc,0.095827,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.095827,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
